CIC_AEM_VERS = 1.0
CREATION_DATE = 2025-09-10T10:10:01
ORIGINATOR = SUTS

META_START

COMMENT Detumbling simulation output using quaternion

OBJECT_NAME = SUTS
OBJECT_ID = SUTS

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = UTC
ATTITUDE_TYPE = QUATERNION

META_STOP

60928 36494.86608 0.260631 -0.673989 0.633024 0.277653
60928 36495.86608 0.257773 -0.672793 0.636050 0.276303
60928 36496.86608 0.254468 -0.664295 0.644902 0.279390
60928 36497.86608 0.254281 -0.657082 0.650498 0.283613
60928 36498.86608 0.257664 -0.658643 0.647304 0.284246
60928 36499.86608 0.260310 -0.668033 0.638904 0.278876
60928 36500.86608 0.261528 -0.675199 0.632790 0.274384
60928 36501.86608 0.259032 -0.673846 0.635680 0.273393
60928 36502.86608 0.256471 -0.665052 0.644262 0.277227
60928 36503.86608 0.257061 -0.657522 0.649525 0.282315
60928 36504.86608 0.256630 -0.660744 0.647930 0.278827
60928 36505.86608 0.258949 -0.670241 0.639593 0.273207
60928 36506.86608 0.260805 -0.677108 0.633177 0.269430
60928 36507.86608 0.259851 -0.675098 0.635475 0.269983
60928 36508.86608 0.256956 -0.666472 0.644186 0.273519
60928 36509.86608 0.255167 -0.659998 0.650487 0.275970
60928 36510.86608 0.257067 -0.662210 0.647901 0.274989
60928 36511.86608 0.261481 -0.670790 0.638677 0.271589
60928 36512.86608 0.264729 -0.677051 0.631697 0.269222
60928 36513.86608 0.264350 -0.674803 0.633760 0.270385
60928 36514.86608 0.261443 -0.666203 0.642461 0.273981
60928 36515.86608 0.259640 -0.659749 0.648751 0.276478
60928 36516.86608 0.261531 -0.661959 0.646157 0.275487
60928 36517.86608 0.265943 -0.670518 0.636930 0.272029
60928 36518.86608 0.269194 -0.676763 0.629948 0.269614
60928 36519.86608 0.268817 -0.674521 0.632007 0.270786
60928 36520.86608 0.265905 -0.665944 0.640700 0.274438
60928 36521.86608 0.264093 -0.659509 0.646981 0.276981
60928 36522.86608 0.265977 -0.661715 0.644379 0.275980
60928 36523.86608 0.270390 -0.670253 0.635148 0.272466
60928 36524.86608 0.273646 -0.676480 0.628164 0.270004
60928 36525.86608 0.273273 -0.674244 0.630218 0.271187
60928 36526.86608 0.270358 -0.665690 0.638902 0.274895
60928 36527.86608 0.268416 -0.659326 0.645223 0.277361
60928 36528.86608 0.268052 -0.662490 0.643609 0.273901
60928 36529.86608 0.270041 -0.672038 0.635390 0.267810
60928 36530.86608 0.270815 -0.679297 0.629391 0.262836
60928 36531.86608 0.269581 -0.677435 0.631821 0.263077
60928 36532.86608 0.267421 -0.668600 0.640274 0.267411
60928 36533.86608 0.266317 -0.661910 0.646296 0.270650
60928 36534.86608 0.268813 -0.663855 0.643398 0.270323
60928 36535.86608 0.273790 -0.672117 0.633853 0.267446
60928 36536.86608 0.277642 -0.678067 0.626568 0.265619
60928 36537.86608 0.277623 -0.675699 0.628475 0.267162
60928 36538.86608 0.269757 -0.669281 0.639312 0.265660
60928 36539.86608 0.265115 -0.664075 0.646803 0.265263
60928 36540.86608 0.269228 -0.665358 0.643208 0.266643
60928 36541.86608 0.271659 -0.674662 0.634758 0.260988
60928 36542.86608 0.273631 -0.681383 0.628236 0.257220
60928 36543.86608 0.272106 -0.679655 0.630802 0.257132
60928 36544.86608 0.269164 -0.671200 0.639658 0.260536
60928 36545.86608 0.268199 -0.664503 0.645667 0.263853
60928 36546.86608 0.270744 -0.666433 0.642722 0.263578
60928 36547.86608 0.275699 -0.674674 0.633104 0.260738
60928 36548.86608 0.279547 -0.680607 0.625754 0.258959
60928 36549.86608 0.279916 -0.678104 0.627498 0.260899
60928 36550.86608 0.277791 -0.669329 0.635920 0.265400
60928 36551.86608 0.276001 -0.662980 0.642227 0.268001
60928 36552.86608 0.277750 -0.665225 0.639625 0.266853
60928 36553.86608 0.281933 -0.673757 0.630364 0.263070
60928 36554.86608 0.284872 -0.680047 0.623419 0.260254
60928 36555.86608 0.283869 -0.678122 0.625751 0.260777
60928 36556.86608 0.280417 -0.669925 0.634765 0.263894
60928 36557.86608 0.278044 -0.663839 0.641358 0.265839
60928 36558.86608 0.279223 -0.666316 0.639013 0.264047
